epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,4250.91,0.94695,0.41036,0.85715,0.98755,0.95598,0.97541,0.73194,0.89931,0.45863,0.88304,0.00038375,0.00038375,0.00038375
72,4310.79,0.93651,0.40399,0.85681,0.95305,0.95917,0.97143,0.73634,0.94193,0.47326,0.87639,0.000371375,0.000371375,0.000371375
73,4344.9,0.9304,0.40678,0.85445,0.98305,0.9611,0.97709,0.74575,0.81698,0.51404,0.86873,0.000359,0.000359,0.000359
74,4431.05,0.92155,0.4029,0.85494,0.98266,0.96404,0.9698,0.71614,1.02291,0.56637,0.8922,0.000346625,0.000346625,0.000346625
75,4470.32,0.91545,0.40189,0.85625,0.9781,0.96506,0.97225,0.73771,0.90138,0.43863,0.86891,0.00033425,0.00033425,0.00033425
76,4508.27,0.91574,0.40185,0.85523,0.99296,0.96647,0.9743,0.74306,0.95544,0.45639,0.87702,0.000321875,0.000321875,0.000321875
77,4575.63,0.90623,0.4002,0.85095,0.99008,0.96653,0.97757,0.73343,1.04025,0.49467,0.88565,0.0003095,0.0003095,0.0003095
78,4616.36,0.91077,0.3978,0.85526,0.99493,0.96648,0.97704,0.72122,1.04613,0.47663,0.89065,0.000297125,0.000297125,0.000297125
79,4674.38,0.90449,0.39835,0.85183,0.9814,0.96784,0.97768,0.74741,0.90963,0.45205,0.88315,0.00028475,0.00028475,0.00028475
80,4725.98,0.91016,0.39797,0.85044,0.96378,0.96107,0.97279,0.71033,1.04605,0.51505,0.91422,0.000272375,0.000272375,0.000272375
81,4900.02,0.90829,0.39506,0.84904,0.96244,0.96559,0.97438,0.6929,1.06634,0.48636,0.90385,0.00026,0.00026,0.00026
82,4946.22,0.9214,0.39944,0.85354,0.97447,0.9774,0.9777,0.74093,0.92657,0.46608,0.87847,0.000247625,0.000247625,0.000247625
83,4986.23,0.91585,0.39616,0.85209,0.98614,0.9665,0.97652,0.7447,0.90828,0.47755,0.86953,0.00023525,0.00023525,0.00023525
84,5038.77,0.88871,0.39033,0.84915,0.98998,0.96653,0.97876,0.71921,1.04191,0.47125,0.89306,0.000222875,0.000222875,0.000222875
